CARTON 1;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;CARTON 2;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10
0001;2;3;7;12;13;14;17;25;46;54;9;12;13;16;17;19;33;38;52;55;8;12;13;26;29;30;35;36;38;49;0601;10;11;20;21;22;31;32;36;40;46;2;3;10;18;22;23;25;44;49;53;4;13;19;21;25;28;30;31;54;56
0002;1;10;11;21;25;32;34;37;52;54;19;27;29;31;39;42;47;48;52;54;5;6;7;10;15;25;31;32;48;58;0602;3;4;15;18;34;42;47;51;52;55;12;15;18;19;21;32;37;47;49;57;7;10;11;14;16;29;30;33;46;56
0003;14;18;22;25;26;32;37;47;50;51;1;3;6;26;33;34;36;40;45;60;8;12;26;28;38;41;46;47;52;59;0603;7;9;13;16;22;30;31;32;42;43;3;4;14;20;27;36;40;42;53;60;15;16;18;24;47;50;53;54;57;58
0004;3;11;17;27;36;42;54;55;59;60;2;4;7;23;26;31;38;42;53;58;2;8;18;33;35;40;49;52;56;59;0604;14;16;17;20;27;45;46;50;56;58;4;11;16;27;30;36;41;50;51;55;2;3;4;11;19;23;24;40;41;44
0005;13;19;23;29;33;34;37;50;56;60;14;15;18;31;33;34;36;49;52;58;4;9;12;21;26;32;33;42;49;53;0605;17;18;22;31;41;51;53;55;57;59;19;26;30;43;46;48;49;54;57;59;10;17;24;28;41;42;47;57;59;60
0006;4;24;27;30;33;34;36;42;46;57;10;12;13;16;17;18;28;33;48;54;7;13;16;24;32;41;53;55;56;57;0606;6;8;13;16;30;35;41;52;55;59;5;8;9;11;19;29;30;43;52;60;1;11;22;27;30;34;37;41;43;48
0007;2;4;7;9;21;30;35;43;45;59;13;21;26;31;35;42;49;51;56;60;3;12;17;19;27;32;38;40;45;50;0607;1;4;9;12;15;17;26;34;40;58;3;9;12;16;19;34;40;43;53;55;1;12;17;18;22;29;34;35;50;53
0008;1;3;6;19;22;28;36;39;44;49;4;10;13;26;32;33;40;43;47;57;1;3;4;7;20;26;27;49;51;59;0608;1;4;9;12;13;24;25;26;44;50;12;15;17;23;26;27;44;46;56;60;8;19;29;31;36;39;40;48;49;59
0009;5;6;7;10;28;36;39;49;50;59;13;21;24;28;29;31;38;48;50;52;4;5;7;9;10;13;16;28;41;58;0609;17;18;20;26;29;32;42;43;46;52;3;10;15;16;25;32;35;44;48;56;9;12;19;24;33;37;40;42;47;53
0010;4;5;19;24;25;35;39;41;58;59;4;5;6;13;21;25;30;41;53;55;13;19;20;27;28;29;40;54;56;58;0610;3;15;19;25;26;32;33;46;48;54;18;20;21;22;28;29;37;41;50;58;3;12;15;20;25;32;38;39;50;51
0011;1;20;26;31;32;41;44;49;50;55;1;7;8;12;19;23;25;26;29;36;6;14;25;27;29;36;46;52;56;57;0611;1;2;3;13;17;20;35;42;48;50;16;19;27;33;37;38;40;46;49;53;2;4;15;23;28;30;35;36;52;58
0012;9;20;22;26;27;38;39;43;54;55;3;7;10;12;22;32;33;43;48;50;10;15;19;21;26;28;40;48;49;55;0612;4;6;7;17;25;38;45;57;58;60;1;5;8;28;31;33;38;42;47;56;3;5;10;22;23;35;47;48;54;57
